Method,ReleaseId,LOC,ParamCount,Statements,Cyclomatic,Nesting,Cognitive,Smells,Modifications,Authors,NameLength,TSLC,FanOut,Buggy,File
getFreshEntryId,4.0.0,7,1,3,1,7,8,0,4,2,15,19,1,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
removeEntryId,4.0.0,14,1,6,3,11,14,2,4,2,13,19,6,1,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
closeHandle,4.0.0,3,0,1,1,5,6,0,4,2,11,19,1,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
main,4.0.0,42,1,20,8,13,21,1,4,2,4,19,20,1,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
writeSameEntryBatch,4.0.0,15,2,8,3,9,12,3,4,2,19,19,11,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
writeConsecutiveEntriesBatch,4.0.0,24,1,15,3,11,14,2,4,2,28,19,13,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
writeSameEntryBatchFS,4.0.0,16,2,9,3,11,14,2,4,2,21,19,9,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
addComplete,4.0.0,4,4,1,1,6,7,0,4,2,11,19,1,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
readComplete,4.0.0,11,4,4,2,9,11,2,4,2,12,19,6,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java
closeHandle,4.0.0,3,0,1,1,5,6,0,3,2,11,19,1,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java
main,4.0.0,29,1,10,5,10,15,2,3,2,4,19,14,0,/Users/colaf/Documents/ISW2/bookkeeper/bookkeeper_ISW2/bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java
