Method,ReleaseId,LOC,ParamCount,Statements,Cyclomatic,Nesting,Cognitive,Smells,Modifications,Authors,NameLength,TSLC,FanOut,Buggy,File
findByThriftId,0.9.0.1,15,1,3,3,6,9,5,1,1,14,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
findByThriftIdOrThrow,0.9.0.1,10,1,3,2,8,10,5,1,1,21,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
findByName,0.9.0.1,6,1,1,1,5,6,3,1,1,10,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
getThriftFieldId,0.9.0.1,3,0,1,1,4,5,2,1,1,16,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
getFieldName,0.9.0.1,3,0,1,1,4,5,2,1,1,12,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
deepCopy,0.9.0.1,3,0,1,1,5,6,2,1,1,8,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
clear,0.9.0.1,6,0,3,1,5,6,3,1,1,5,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
get_output_fields_size,0.9.0.1,3,0,1,2,7,9,3,1,1,22,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
get_output_fields_iterator,0.9.0.1,3,0,1,2,7,9,3,1,1,26,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
add_to_output_fields,0.9.0.1,6,1,2,2,9,11,4,1,1,20,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
get_output_fields,0.9.0.1,3,0,1,1,4,5,3,1,1,17,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
set_output_fields,0.9.0.1,3,1,1,1,5,6,5,1,1,17,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
unset_output_fields,0.9.0.1,3,0,1,1,5,6,4,1,1,19,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
is_set_output_fields,0.9.0.1,6,0,1,1,5,6,3,1,1,20,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
set_output_fields_isSet,0.9.0.1,5,1,1,2,7,9,5,1,1,23,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
is_direct,0.9.0.1,3,0,1,1,4,5,3,1,1,9,232,0,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
set_direct,0.9.0.1,4,1,2,1,5,6,4,1,1,10,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
unset_direct,0.9.0.1,3,0,1,1,5,6,3,1,1,12,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
is_set_direct,0.9.0.1,6,0,1,1,5,6,3,1,1,13,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
set_direct_isSet,0.9.0.1,3,1,1,1,5,6,4,1,1,16,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
setFieldValue,0.9.0.1,18,2,6,5,11,16,5,1,1,13,232,4,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
getFieldValue,0.9.0.1,9,1,3,3,7,10,5,1,1,13,232,3,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
isSet,0.9.0.1,15,1,4,4,7,11,5,1,1,5,232,2,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
equals,0.9.0.1,8,1,3,3,7,10,9,1,1,6,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
equals,0.9.0.1,21,1,10,14,9,23,29,1,1,6,232,3,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
hashCode,0.9.0.1,13,0,8,4,8,12,12,1,1,8,232,6,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
compareTo,0.9.0.1,28,1,12,8,11,19,10,1,1,9,232,20,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
fieldForId,0.9.0.1,3,1,1,1,5,6,3,1,1,10,232,1,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
read,0.9.0.1,44,1,22,8,17,25,17,1,1,4,232,14,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
write,0.9.0.1,20,1,12,3,14,17,4,1,1,5,232,13,0,/Users/colaf/Documents/ISW2/storm/storm/storm-core/src/jvm/backtype/storm/generated/StreamInfo.java
